precio,ubicacion,habitaciones,baños,parqueaderos,area,descripcion,tipo_propiedad,ciudad_final,precio_por_m2
7300000,"candelaria, conquistadores, villanueva",2.0,2.0,2.0,80.0,apartamento ubicado sector loma tesoro cuenta facilidad acceso rutas servicio público además cerca centro comercial tesoro mall clínica rosario fácil acceso avenida palmas loma tesoro,Apartamento en arriendo,medellin,91250.0
10500000,"castropol, tesoro, alejandria",2.0,4.0,3.0,160.0,apartamento amoblado arriendo unidad cerrada facil acceso principal aprox cuatro cuadras supermercados ubicado calle tranquila piso marmol puerta seguridad sala comedor estudio tv 2 alcobas baño cada cocina integral abierta tipo americano alcoba baño servicio balcon parqueaderos lineales cubiertos piscina gym salon social sauna parque infantil cancha squash zonas verdes vigilancia 24 horas citofonia circuito cerrado tv inmuebles sujetos verificación disponibilidad,Apartamento en arriendo,medellin,65625.0
7200000,"candelaria, conquistadores, villanueva",2.0,4.0,3.0,156.0,apartamento ubicado sector lomas cuenta facilidad acceso avenida palmas cerca centro comercial tesoro centro comercial vizcaya centro comercial tesoro mall mall verona mall piazza bella mall pinar rio,Apartamento en arriendo,medellin,46153.846153846156
1800000000,"niza suba, monaco, potosi",6.0,6.0,7.0,384.75,descubre nuevo hogar colina campestre hermosa casa 384 ubicada tranquilo seguro barrio mónaco suba bogotá opción perfecta buscan comodidad funcionalidad excelente entorno vivir 6 habitaciones amplias llenas luz natural gracias orientación norte 6 baños máxima comodidad familia visitas 7 espacios parqueo ideal necesitan espacio adicional vehículos encuentra ubicación estratégica excelentes conexiones transporte facilita día día precio atractivo costos adicionales aceptamos bancos hacer compra experiencia fácil sorpresas dejes pasar oportunidad hazla empieza vivir hogar mereces ✨ contáctanos detalles,Casa en venta,bogota,4678362.573099415
650000000,"laureles, loma de bernal, rosales",4.0,4.0,2.0,183.0,presentamos confortable casa ubicada palmas medellín lugar estratégico ciudad cerca centro comercial molinos cancha altavista parte baja cancha belén zafra parque belén metrosalud unidad hospitalaria belén universidad medellín necesitas bienestar contáctanos déjanos tener privilegio ayudarte encontrar lugar ideal,Casa en venta,medellin,3551912.568306011
180000000,"campo alegre, pantanos, a.s.d.",3.0,1.0,0.0,57.0,,Casa en venta,bogota,3157894.736842105
758000000,"chico , chico , santa bibiana",3.0,6.0,2.0,188.94,presentamos confortable casa ubicada barrio castellana lugar estratégico ciudad cuenta sala comedor cocina estudio 4 baños 3 habitaciones patio garaje cercana centros comerciales colegios universidades hospitales parques necesitas bienestar contáctanos déjanos tener privilegio ayudarte encontrar lugar ideal,Casa en venta,bogota,4011855.6155393245
1100000000,"pinares de san martin, alpes, angeles",4.0,5.0,6.0,500.0,retiro campestre espera pereira risaralda hermosa amplia casa cuenta área terreno ideal disfrutar tranquilidad belleza naturaleza inversión rentarla estancias coras construcción casa campestre ofrece espacio amplio cómodo toda familia interior casa equipado 4 acogedoras alcobas 5 baños completamente equipados además cuenta armarios empotrados closets cada habitación brinda espacio organizado ordenado almacenar pertenencias además baño habitación principal baño auxiliar perfectos comodidad privacidad cocina integral completamente equipada lista puedas preparar comidas favoritas además cuenta área lavandería puedas hacer tareas domésticas interrupciones encontrarás amplio depósito almacenar necesites disfruta largas relajantes sesiones zona jacuzzi verdadero oasis tranquilidad descanso además casa cuenta agua electricidad garantizada preocuparte ningún inconveniente exterior casa cuenta hermoso jardín gran variedad árboles frutales dan toque color frescura ambiente campestre además podrás disfrutar amplia área social ideal reuniones amigos familiares zona campestre residencial encuentra ubicada casa brinda ambiente seguro tranquilo rodeado zonas verdes áreas naturales porteríarecepción servicio vigilancia garantizan seguridad familia momento pierdas oportunidad adquirir increíble casa campestre pereira 6 contáctanos haz casa nuevo hogar campestre colombia,Casa campestre en venta,pereira,2200000.0
1680000000,"br san fernando, corregimiento cerritos, ur rincon de palma",6.0,6.0,4.0,400.0,descubre propio paraíso increíble casa campestre ubicada hermosa ciudad pereira vibrante región risaralda cuenta amplio terreno rodeado frondosos bosques nativos brindan privacidad tranquilidad cada rincón construcción casa ofrece necesitas vivir completa armonía naturaleza dispone 6 acogedoras alcobas perfectas acomodar toda familia recibir invitados además cuenta 6 baños bien distribuidos cada área garantizándote comodidad privacidad mereces cuenta 4 amplios garajes puedas estacionar vehículos total seguridad característica exclusiva permite convivencia mascotas brindándoles gran espacio disfruten campo junto ingresar casa recibirán armarios empotrados cada habitaciones brindará espacio organizado elegante comodidad sala podrás apreciar hermoso paisaje extiende través balcón casa además cuenta baños auxiliares baño habitación principal brinda confort necesitas cada área casa cocina corazón cualquier hogar casa campestre excepción cuenta barra estilo americano perfecta preparar mejores platos mientras disfrutas compañía seres queridos dispone bibliotecaestudio ideal buscan espacio tranquilo trabajar estudiar casa casa campestre equipada necesario comodidad cuenta calentador clósets cada habitación cocina tipo americana podrás encontrar comedor auxiliar perfecto reuniones familiares amigos además cuenta habitación,Casa campestre en venta,pereira,4200000.0
460000000,"cedritos, cedritos, contador",4.0,3.0,2.0,91.94,presentamos confortable casa ubicada sector cedro bolivar lugar estratégico ciudad gracias alto flujo peatonal vehicular casa conjunto residencial cerca cedritos casa 3 niveles cuenta dos parqueaderos descubiertos jardin espaciós amplios conforman 4 habitaciones 3 baños sala comedor zona ropas independiente altillo cerca podrás encontrar centros comerciales parques zonas gastronómicas bares restaurantes clínicas esperes anímate encontrar lugar ideal contáctanos déjanos tener privilegio atenderte,Casa en venta,bogota,5003262.997607135
